,Treatment,treatnameM,treatnameP,Replicate,Parasite,Count 1,Count 2,Count 3,Count 4,average,indwork,treatwork,co,stillalive,contaminated,pasteuria,exposed,Dissolved,dayslife,totbab,babperday,lastrepro,# of Babies 7/24,27-Jul,29-Jul,31-Jul,3-Aug,5-Aug,7-Aug,10-Aug,12-Aug,14-Aug,17-Aug,19-Aug,21-Aug,24-Aug,26-Aug,28-Aug,31-Aug,2-Sep,4-Sep,7-Sep,9-Sep,11-Sep,14-Sep,16-Sep,18-Sep,21-Sep,23-Sep,25-Sep,28-Sep,30-Sep,2-Oct,5-Oct,7-Oct,9-Oct,12-Oct,14-Oct,lifetimesig,fecundsig
69,2,none,single,5,1,0,0,0,0,0,0,1,1,0,0,2,1,0,19,12,0.631578947,9,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
70,2,none,single,5,2,194,154,157,156,165.25,1,1,1,0,0,2,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
71,2,none,single,6,1,0,0,0,0,0,0,1,1,0,0,2,1,1,39,141,3.615384615,34,3,4,0,7,0,0,0,10,7,11,5,3,9,7,12,0,1,11,0,5,5,3,5,0,5,6,0,8,8,6,0,0,0,0,0,0,1,2
72,2,none,single,6,2,228,15,0,0,60.75,1,1,1,0,0,2,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
73,2,none,single,7,1,0,0,0,NA,0,0,0,1,0,0,2,1,0,36,175,4.861111111,4,2,7,0,8,7,0,2,3,0,16,17,17,0,10,13,7,11,0,4,13,0,8,2,4,1,7,11,0,0,4,1,0,0,0,0,0,1,2
74,2,none,single,7,2,0,0,0,NA,0,0,0,1,0,0,2,1,0,NA,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
75,2,none,single,8,1,0,0,0,NA,0,0,1,1,0,0,2,1,0,39,82,2.102564103,24,0,2,4,4,0,0,0,9,3,8,0,1,9,11,11,0,8,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
76,2,none,single,8,2,410,369,395,NA,391.3333333,1,1,1,0,0,2,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
77,2,none,single,9,1,0,0,0,0,0,0,1,1,0,0,2,1,0,22,54,2.454545455,22,0,2,5,5,0,7,0,8,10,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
78,2,none,single,9,2,187,263,159,222,207.75,1,1,1,0,0,2,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
79,2,none,single,10,1,0,0,0,0,0,0,1,1,0,0,2,1,0,17,12,0.705882353,8,0,2,5,5,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
80,2,none,single,10,2,523,614,520,561,554.5,1,1,1,0,0,2,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
81,2,none,single,11,1,NA,NA,NA,NA,NA,0,0,1,0,0,2,1,0,7,9,1.285714286,4,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
82,2,none,single,11,2,NA,NA,NA,NA,NA,0,0,1,0,0,2,1,0,NA,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
83,2,none,single,12,1,NA,NA,NA,NA,NA,0,0,1,1,0,2,1,0,40,114,2.85,4,0,8,0,7,0,0,0,0,9,0,15,0,7,7,9,0,3,7,0,1,8,3,0,0,7,0,7,0,0,9,7,0,0,0,0,0,1,2
84,2,none,single,12,2,NA,NA,NA,NA,NA,0,0,1,1,0,2,1,0,NA,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
85,2,none,single,13,1,0,0,0,NA,0,0,0,1,0,0,2,1,0,36,84,2.333333333,4,0,2,5,5,0,0,0,0,2,8,13,0,4,6,6,0,7,11,0,0,7,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,1,2
86,2,none,single,13,2,0,0,0,NA,0,0,0,1,0,0,2,1,0,NA,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
87,2,none,single,14,1,0,0,0,NA,0,0,1,1,0,0,2,1,0,30,27,0.9,9,0,8,8,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
88,2,none,single,14,2,1121,1176,1062,NA,1119.666667,1,1,1,0,0,2,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
89,2,none,single,15,1,0,0,0,NA,0,0,1,1,0,0,2,1,1,23,15,0.652173913,8,0,8,0,7,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
90,2,none,single,15,2,417,423,454,NA,431.3333333,1,1,1,0,0,2,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
91,2,none,single,16,1,0,0,0,0,0,0,1,1,0,0,2,1,0,18,16,0.888888889,8,2,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
92,2,none,single,16,2,541,567,495,471,518.5,1,1,1,0,0,2,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
93,2,none,single,17,1,0,0,0,0,0,0,1,1,0,0,2,1,0,16,16,1,8,1,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
94,2,none,single,17,2,275,318,279,363,308.75,1,1,1,0,0,2,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
95,2,none,single,18,1,0,0,0,0,0,0,1,1,0,0,2,1,0,20,39,1.95,19,2,7,0,8,1,0,0,0,8,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
96,2,none,single,18,2,139,105,44,83,92.75,1,1,1,0,0,2,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
97,2,none,single,19,1,0,0,0,0,0,0,1,1,0,0,2,1,0,23,35,1.52173913,19,2,6,0,7,4,0,0,8,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
98,2,none,single,19,2,46,83,51,69,62.25,1,1,1,0,0,2,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
99,2,none,single,20,1,0,0,0,0,0,0,1,1,0,0,2,1,0,21,29,1.380952381,12,1,8,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
100,2,none,single,20,2,325,371,330,363,347.25,1,1,1,0,0,2,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
101,2,none,single,21,1,0,0,0,0,0,0,1,1,0,0,2,1,0,18,21,1.166666667,12,2,6,0,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
102,2,none,single,21,2,310,364,244,201,279.75,1,1,1,0,0,2,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
103,2,none,single,22,1,0,0,0,NA,0,0,1,1,0,0,2,1,0,20,22,1.1,9,1,6,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
104,2,none,single,22,2,6,5,4,NA,5,1,1,1,0,0,2,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
105,2,none,single,23,1,0,0,0,0,0,0,1,1,0,0,2,1,0,12,27,2.25,10,2,6,0,6,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
106,2,none,single,23,2,2,19,4,5,7.5,1,1,1,0,0,2,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
107,2,none,single,24,1,0,0,0,NA,0,0,0,1,0,0,2,1,0,21,67,3.19047619,4,0,3,3,6,0,6,0,9,10,0,15,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
108,2,none,single,24,2,0,0,0,NA,0,0,0,1,0,0,2,1,0,NA,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
109,2,none,single,25,1,0,0,0,NA,0,0,1,1,0,0,2,1,0,26,12,0.461538462,8,0,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
110,2,none,single,25,2,762,734,628,NA,708,1,1,1,0,0,2,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
111,2,none,single,26,1,0,0,0,NA,0,0,0,1,0,0,2,1,0,17,61,3.588235294,4,0,2,7,4,0,0,4,12,11,0,5,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
112,2,none,single,26,2,0,0,0,NA,0,0,0,1,0,0,2,1,0,NA,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
113,2,none,single,27,1,0,0,0,NA,0,0,0,1,0,0,2,1,0,32,114,3.5625,4,0,2,8,5,0,0,0,0,12,17,2,0,14,9,1,0,9,12,0,0,10,1,0,0,9,1,0,2,0,0,0,0,0,0,0,0,1,2
114,2,none,single,27,2,0,0,0,NA,0,0,0,1,0,0,2,1,0,NA,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
115,2,none,single,28,1,0,0,0,NA,0,0,0,1,0,0,2,1,0,22,89,4.045454545,4,0,1,6,4,0,0,0,11,12,3,15,0,9,8,5,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
116,2,none,single,28,2,0,0,0,NA,0,0,0,1,0,0,2,1,0,NA,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
117,2,none,single,29,1,0,0,0,NA,0,0,0,1,0,0,2,1,0,20,75,3.75,4,0,4,8,6,0,0,6,0,14,11,12,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
