treatment,replicate,month,day,month_adjust,host_age,day_past_infect,day_metsch_infect,day_infect,dead,missing,babies,coinf_treat,notes
6,14,June,26,-20,6,12,0,12,,,0,1,
6,15,June,26,-20,6,12,0,12,,,0,1,
6,16,June,26,-20,6,12,0,12,,,0,1,
6,17,June,26,-20,6,12,0,12,,,0,1,
6,18,June,26,-20,6,12,0,12,Y,Y,0,1,Replaced (0 babies)
6,19,June,26,-20,6,12,0,12,,,0,1,
6,20,June,26,-20,6,12,0,12,,,0,1,
6,21,June,26,-20,6,12,0,12,,,0,1,
6,22,June,26,-20,6,12,0,12,,,0,1,
6,23,June,26,-20,6,12,0,12,,,0,1,
6,24,June,26,-20,6,12,0,12,,,0,1,
6,25,June,26,-20,6,12,0,12,,,0,1,
6,26,June,26,-20,6,12,0,12,,,0,1,
6,27,June,26,-20,6,12,0,12,,,0,1,
6,28,June,26,-20,6,12,0,12,,,0,1,
6,29,June,26,-20,6,12,0,12,,,0,1,
6,30,June,26,-20,6,12,0,12,,,0,1,
7,1,June,26,-20,6,0,12,12,,,0,2,
7,2,June,26,-20,6,0,12,12,,,0,2,
7,3,June,26,-20,6,0,12,12,,,0,2,
7,4,June,26,-20,6,0,12,12,,,0,2,
7,5,June,26,-20,6,0,12,12,,,0,2,
7,6,June,26,-20,6,0,12,12,,,0,2,
7,7,June,26,-20,6,0,12,12,,,0,2,
7,8,June,26,-20,6,0,12,12,,,0,2,
7,9,June,26,-20,6,0,12,12,,,0,2,
7,10,June,26,-20,6,0,12,12,,,0,2,
7,11,June,26,-20,6,0,12,12,,,0,2,
7,12,June,26,-20,6,0,12,12,,,0,2,
7,13,June,26,-20,6,0,12,12,,,0,2,
7,14,June,26,-20,6,0,12,12,,,0,2,
7,15,June,26,-20,6,0,12,12,,,0,2,
7,16,June,26,-20,6,0,12,12,,,0,2,
7,17,June,26,-20,6,0,12,12,,,0,2,
7,18,June,26,-20,6,0,12,12,,,0,2,
7,19,June,26,-20,6,0,12,12,,,0,2,
7,20,June,26,-20,6,0,12,12,,,0,2,
7,21,June,26,-20,6,0,12,12,,,0,2,
7,22,June,26,-20,6,0,12,12,,,0,2,
7,23,June,26,-20,6,0,12,12,,,0,2,
7,24,June,26,-20,6,0,12,12,,,0,2,
7,25,June,26,-20,6,0,12,12,,,0,2,
7,26,June,26,-20,6,0,12,12,,,0,2,
7,27,June,26,-20,6,0,12,12,,,0,2,
7,28,June,26,-20,6,0,12,12,,,0,2,
7,29,June,26,-20,6,0,12,12,,,0,2,
7,30,June,26,-20,6,0,12,12,,,0,2,
8,1,June,26,-20,6,12,15,12,,,0,3,
8,2,June,26,-20,6,12,15,12,,,0,3,
8,3,June,26,-20,6,12,15,12,,,0,3,
8,4,June,26,-20,6,12,15,12,,,0,3,
8,5,June,26,-20,6,12,15,12,,,0,3,
8,6,June,26,-20,6,12,15,12,,,0,3,
8,7,June,26,-20,6,12,15,12,,,0,3,
8,8,June,26,-20,6,12,15,12,,,0,3,
8,9,June,26,-20,6,12,15,12,,,0,3,
8,10,June,26,-20,6,12,15,12,Y,Y,0,3,Replaced (0 babies)
8,11,June,26,-20,6,12,15,12,,,0,3,
8,12,June,26,-20,6,12,15,12,,,0,3,
8,13,June,26,-20,6,12,15,12,,,0,3,
8,14,June,26,-20,6,12,15,12,,,0,3,
8,15,June,26,-20,6,12,15,12,,,0,3,
8,16,June,26,-20,6,12,15,12,,,0,3,
8,17,June,26,-20,6,12,15,12,,,0,3,
8,18,June,26,-20,6,12,15,12,,,0,3,
8,19,June,26,-20,6,12,15,12,,,0,3,
8,20,June,26,-20,6,12,15,12,,,0,3,
8,21,June,26,-20,6,12,15,12,,,0,3,
